id,Count,Angle,Easting,Northing,longitude,latitude
143,1,29,529446,181112,-0.135923574,51.51411107
144,1,29,529441,181109,-0.135996689,51.51408525
145,1,29,529430,181103,-0.136157323,51.51403385
146,2,209,529449,181103,-0.135883667,51.5140295
147,4,209,529439,181098,-0.13602953,51.51398685
148,5,209,529433,181094,-0.136117415,51.51395228
149,2,209,529428,181092,-0.136190164,51.51393545
150,1,294,529404,181086,-0.136538034,51.51388702
151,3,294,529391,181116,-0.136714271,51.5141596
152,1,294,529384,181131,-0.136809591,51.514296
153,3,114,529374,181128,-0.136954722,51.51427133
154,1,114,529385,181105,-0.136804722,51.51406212
155,1,114,529390,181094,-0.136736741,51.51396212
156,2,114,529394,181082,-0.13668353,51.51385337
157,3,294,529373,181154,-0.136959591,51.51450521
158,2,294,529363,181177,-0.137095189,51.51471419
159,3,114,529360,181156,-0.137146098,51.51452616
160,3,204,529380,181191,-0.136845202,51.51483612
161,1,204,529396,181199,-0.136611817,51.51490435
162,1,294,529351,181204,-0.137258129,51.51495958
163,2,24,529317,181185,-0.137754803,51.51479661
164,3,24,529304,181180,-0.137943878,51.51475465
165,1,30,529345,181073,-0.137392571,51.5137837
166,2,30,529338,181070,-0.137494491,51.51375834
167,2,116,529341,181055,-0.137456781,51.51362285
168,1,116,529345,181049,-0.137401369,51.51356802
169,1,116,529355,181030,-0.137264306,51.51339498
170,2,27,529374,181029,-0.136991021,51.51338165
171,3,27,529381,181032,-0.136889101,51.51340701
172,1,27,529387,181036,-0.136801218,51.51344158
173,1,27,529401,181043,-0.136597012,51.51350128
174,4,27,529394,181039,-0.136699299,51.51346694
175,3,297,529424,180994,-0.136283721,51.51305567
176,1,297,529421,181000,-0.136324728,51.51311028
177,1,126,529451,181020,-0.135885311,51.51328315
